word|example|translation|example_translation|familiarity
erklären|Die Lehrerin erklärt die Aufgabe sehr einfach.|to explain|The teacher explains the exercise very simply.|0
laufen|Wir laufen am Wochenende im Park eine kleine Runde.|to run/walk|We run a small lap in the park on the weekend.|0
passieren|Was passiert jetzt, wenn wir zu spät kommen?|to happen|What happens now if we arrive too late?|0
setzen|Bitte setz dich hier, der Stuhl ist frei.|to set/sit (down)|Please sit here; the chair is free.|0
erzählen|Er erzählt eine kurze Geschichte über seine Reise.|to tell|He tells a short story about his trip.|0
sitzen|Wir sitzen am Fenster und trinken Kaffee.|to sit|We are sitting by the window and drinking coffee.|0
ziehen|Sie zieht im Sommer in eine neue Wohnung.|to pull/move|She is moving to a new apartment in the summer.|0
scheinen|Heute scheint die Sonne, und es ist warm.|to shine/seem|The sun is shining today, and it is warm.|0
fallen|Das Glas fällt vom Tisch, aber es zerbricht nicht.|to fall|The glass falls from the table, but it doesn’t break.|0
entstehen|Zwischen uns entsteht Freundschaft, weil wir oft reden.|to arise/develop|Friendship is growing between us because we talk often.|0
treffen|Wir treffen uns um sechs vor dem Kino.|to meet|We are meeting at six in front of the cinema.|0
tragen|Er trägt eine leichte Jacke, weil es windig ist.|to wear/carry|He is wearing a light jacket because it is windy.|0
suchen|Ich suche meine Kopfhörer, hast du sie gesehen?|to search|I am looking for my headphones; have you seen them?|0
legen|Bitte lege den Schlüssel auf den Tisch neben die Lampe.|to put/lay|Please put the key on the table next to the lamp.|0
vorstellen|Darf ich dir meine Kollegin vorstellen?|to introduce/imag ine|May I introduce my colleague to you?|0
handeln|Der Film handelt von zwei Freunden in Berlin.|to be about/act|The film is about two friends in Berlin.|0
erreichen|Du erreichst mich heute am besten per Nachricht.|to reach/achieve|You can reach me best by message today.|0
schaffen|Ich schaffe die Aufgabe, wenn ich ruhig bleibe.|to manage/accomplish|I will manage the task if I stay calm.|0
verlieren|Ich verliere meinen Regenschirm immer im Bus.|to lose|I always lose my umbrella on the bus.|0
darstellen|Das Bild stellt einen alten Baum im Herbst dar.|to depict|The picture depicts an old tree in autumn.|0
erkennen|Ich erkenne den Weg, wir sind fast da.|to recognize|I recognize the way; we are almost there.|0
entwickeln|Die Firma entwickelt eine einfache App für Kinder.|to develop|The company is developing a simple app for children.|0
reden|Wir reden nach dem Unterricht über unsere Pläne.|to talk|We talk about our plans after class.|0
aussehen|Du siehst heute sehr glücklich aus.|to look/appear|You look very happy today.|0
erscheinen|Die Zeitung erscheint jeden Morgen um sieben.|to appear|The newspaper appears every morning at seven.|0
bilden|Wir bilden kleine Gruppen und arbeiten zusammen.|to form|We form small groups and work together.|0
anfangen|Ich fange jetzt mit den Hausaufgaben an.|to begin/start|I’m starting the homework now.|0
erwarten|Ich erwarte eine Antwort bis morgen Nachmittag.|to expect|I expect an answer by tomorrow afternoon.|0
wohnen|Wir wohnen in der Nähe vom Bahnhof.|to live/reside|We live near the train station.|0
betreffen|Die neuen Regeln betreffen alle Kursteilnehmer.|to affect|The new rules affect all course participants.|0
warten|Bitte wartest du kurz hier, ich komme gleich.|to wait|Please wait here for a moment; I’ll be right back.|0
vergehen|Die Zeit vergeht schnell, wenn wir Spaß haben.|to pass (time)|Time passes quickly when we have fun.|0
gewinnen|Unser Team gewinnt heute das Spiel.|to win|Our team is winning the game today.|0
schließen|Wir schließen das Fenster, weil es kalt ist.|to close|We close the window because it is cold.|0
fühlen|Ich fühle mich besser, nachdem ich geschlafen habe.|to feel|I feel better after I have slept.|0
bieten|Das Café bietet auch Frühstück und Tee an.|to offer|The café also offers breakfast and tea.|0
interessieren|Mich interessiert Musik, besonders Klavier.|to interest|I am interested in music, especially piano.|0
erinnern|Er erinnert mich an den Termin um drei.|to remind/remember|He reminds me about the appointment at three.|0
ergeben|Die Zahlen ergeben zusammen zwanzig.|to result/yield|The numbers add up to twenty.|0
anrufen|Ich rufe dich später an, wenn ich zu Hause bin.|to call|I’ll call you later when I am at home.|0
schlafen|Die Kinder schlafen schon, es ist spät.|to sleep|The children are already sleeping; it is late.|0
verkaufen|Sie verkauft ihr altes Fahrrad im Internet.|to sell|She sells her old bicycle on the internet.|0
kaufen|Wir kaufen frisches Obst auf dem Markt.|to buy|We buy fresh fruit at the market.|0
öffnen|Der Laden öffnet um neun Uhr.|to open|The shop opens at nine o’clock.|0
bezahlen|Ich bezahle bar, bitte geben Sie mir eine Quittung.|to pay|I’ll pay in cash; please give me a receipt.|0
bringen|Kannst du mir bitte ein Glas Wasser bringen?|to bring|Can you please bring me a glass of water?|0
halten|Bitte halte die Tür, ich komme gleich.|to hold/keep|Please hold the door; I’m coming right away.|0
führen|Die Lehrerin führt die Gruppe durch das Museum.|to lead|The teacher leads the group through the museum.|0
zeigen|Er zeigt mir den Weg zur Haltestelle.|to show|He shows me the way to the bus stop.|0
stellen|Stell die Tasche unter den Tisch, bitte.|to put/place|Put the bag under the table, please.|0
dürfen|Hier darf man nicht rauchen, es ist verboten.|may/be allowed|You are not allowed to smoke here; it is forbidden.|0
mögen|Ich mag dieses Lied, weil es ruhig ist.|to like|I like this song because it is calm.|0
werden|Es wird morgen warm, also nehmen wir keine Jacke.|to become/will|It will be warm tomorrow, so we won’t take a jacket.|0
bleiben|Kannst du bitte noch fünf Minuten bleiben?|to stay|Can you please stay five more minutes?|0
ziehen|Im Herbst ziehen viele Vögel in den Süden.|to move/pull|In autumn many birds move to the south.|0
scheitern|Der Plan scheitert nicht, wir versuchen es erneut.|to fail|The plan doesn’t fail; we try again.|0
retten|Der Arzt rettet das Kind dank schneller Hilfe.|to save/rescue|The doctor saves the child thanks to quick help.|0
benutzen|Ich benutze jeden Tag einen kleinen Kalender.|to use|I use a small calendar every day.|0
ändern|Wir ändern die Zeit, damit alle kommen können.|to change|We change the time so that everyone can come.|0
beschreiben|Bitte beschreibe dein Zimmer in ein paar Sätzen.|to describe|Please describe your room in a few sentences.|0
erklimmen|Wir erklimmen den kleinen Hügel hinter dem Dorf.|to climb|We climb the small hill behind the village.|0
vergleichen|Vergleiche die Preise und wähle das Beste.|to compare|Compare the prices and choose the best.|0
feiern|Wir feiern am Samstag meinen Geburtstag.|to celebrate|We are celebrating my birthday on Saturday.|0
kochen|Ich koche heute Suppe mit Gemüse.|to cook|I am cooking soup with vegetables today.|0
backen|Sie backt am Wochenende frisches Brot.|to bake|She bakes fresh bread on the weekend.|0
putzen|Er putzt die Küche nach dem Abendessen.|to clean|He cleans the kitchen after dinner.|0
waschen|Ich wasche meine Kleidung am Sonntag.|to wash|I wash my clothes on Sunday.|0
lernen|Wir lernen zusammen für den Test am Montag.|to learn|We study together for the test on Monday.|0
üben|Ich übe jeden Abend zehn Minuten Aussprache.|to practice|I practice pronunciation for ten minutes every evening.|0
wiederholen|Bitte wiederholen Sie den Satz noch einmal.|to repeat|Please repeat the sentence once more.|0
erlauben|Meine Eltern erlauben mir, länger aufzubleiben.|to allow|My parents allow me to stay up longer.|0
verbieten|Die Schule verbietet Handys im Unterricht.|to forbid|The school forbids phones during class.|0
gefallen|Das Bild gefällt mir sehr, es ist bunt.|to please|I like the picture a lot; it is colorful.|0
danken|Ich danke dir für deine Hilfe.|to thank|I thank you for your help.|0
gratulieren|Wir gratulieren dir zum neuen Job.|to congratulate|We congratulate you on the new job.|0
kennen|Ich kenne diese Stadt nicht so gut.|to know (be familiar)|I don’t know this city very well.|0
kennenlernen|Wir lernen neue Leute beim Kurs kennen.|to get to know|We get to know new people at the course.|0
besuchen|Morgen besuchen wir meine Tante.|to visit|Tomorrow we visit my aunt.|0
reisen|Im Sommer reisen wir mit dem Zug durch Deutschland.|to travel|In summer we travel by train through Germany.|0
bleiben|Wir bleiben noch eine Nacht im Hotel.|to stay|We are staying one more night at the hotel.|0
mieten|Wir mieten ein kleines Auto für zwei Tage.|to rent|We rent a small car for two days.|0
parken|Du darfst hier nur zehn Minuten parken.|to park|You may park here for only ten minutes.|0
finden|Ich finde den Eingang nicht, wo ist er?|to find|I can’t find the entrance; where is it?|0
zeigen|Zeigst du mir bitte dein Ticket?|to show|Will you please show me your ticket?|0
fotografieren|Ich fotografiere gern Gebäude und Straßen.|to photograph|I like photographing buildings and streets.|0
filmen|Er filmt das Konzert mit seinem Handy.|to film|He films the concert with his phone.|0
hören|Wir hören Musik leise, damit niemand gestört wird.|to listen/hear|We listen to music quietly so no one is disturbed.|0
ansehen|Abends sehen wir uns eine Serie an.|to watch/look at|In the evening we watch a series.|0
aufstehen|Ich stehe jeden Tag um sieben Uhr auf.|to get up|I get up every day at seven o’clock.|0
anziehen|Sie zieht eine warme Jacke an, es regnet.|to put on (clothes)|She puts on a warm jacket; it’s raining.|0
ausziehen|Er zieht die Schuhe aus und geht ins Wohnzimmer.|to take off (clothes)|He takes off his shoes and goes into the living room.|0
einsteigen|Wir steigen in den Bus an der Ecke ein.|to get in/board|We board the bus at the corner.|0
aussteigen|Bitte steigen Sie an der nächsten Haltestelle aus.|to get out/disembark|Please get off at the next stop.|0
umsteigen|In München müssen wir einmal umsteigen.|to change (trains/buses)|In Munich we have to change once.|0
ankommen|Der Zug kommt pünktlich um neun an.|to arrive|The train arrives on time at nine.|0
abfahren|Der Bus fährt in fünf Minuten ab.|to depart|The bus departs in five minutes.|0
abholen|Kannst du mich am Bahnhof abholen?|to pick up|Can you pick me up at the station?|0
bringen|Ich bringe dir morgen die Dokumente.|to bring|I’ll bring you the documents tomorrow.|0
mitnehmen|Nimm bitte einen Regenschirm mit, es könnte regnen.|to take along|Please take an umbrella with you; it might rain.|0
vorbereiten|Ich bereite mich auf das Gespräch vor.|to prepare|I am preparing for the conversation.|0
erreichen|Wir erreichen das Ziel in einer Stunde.|to reach|We will reach the destination in an hour.|0
besprechen|Wir besprechen den Plan nach dem Mittagessen.|to discuss|We will discuss the plan after lunch.|0
zustimmen|Ich stimme dir zu, das ist eine gute Idee.|to agree|I agree with you; that is a good idea.|0
widersprechen|Da muss ich dir widersprechen, es ist anders.|to disagree/contradict|I must disagree with you there; it is different.|0
entscheiden|Wir entscheiden morgen, wie es weitergeht.|to decide|We will decide tomorrow how to proceed.|0
beschließen|Sie beschließen, am Wochenende zu verreisen.|to decide/resolve|They decide to travel on the weekend.|0
erlauben|Der Chef erlaubt heute Homeoffice.|to allow|The boss allows working from home today.|0
ablehnen|Ich lehne das Angebot freundlich ab.|to decline|I politely decline the offer.|0
akzeptieren|Wir akzeptieren die Regeln der Bibliothek.|to accept|We accept the library rules.|0
vorziehen|Ich ziehe Tee dem Kaffee vor.|to prefer|I prefer tea to coffee.|0
reichen|Reicht dir das Wasser, oder brauchst du mehr?|to be enough/hand|Is the water enough for you, or do you need more?|0
fehlen|Mir fehlt ein Stift, kann ich deinen nehmen?|to be missing/lack|I am missing a pen; can I take yours?|0
gehören|Der Hund gehört meinen Nachbarn.|to belong|The dog belongs to my neighbors.|0
klingen|Das Lied klingt schön, ich höre es gern.|to sound|The song sounds beautiful; I like to listen to it.|0
riechen|Die Suppe riecht gut, wir essen gleich.|to smell|The soup smells good; we will eat soon.|0
schmecken|Das Brot schmeckt frisch und weich.|to taste|The bread tastes fresh and soft.|0
spüren|Ich spüre eine leichte Brise am Fenster.|to feel/sense|I feel a light breeze at the window.|0
bewegen|Bitte bewege die Box vorsichtig, sie ist schwer.|to move|Please move the box carefully; it is heavy.|0
öffnen|Öffne bitte die Tür, ich habe die Hände voll.|to open|Please open the door; my hands are full.|0
schließen|Wir schließen die Tasche und gehen los.|to close|We close the bag and set off.|0
starten|Das Programm startet automatisch nach dem Klick.|to start|The program starts automatically after the click.|0
beenden|Wir beenden das Meeting pünktlich.|to end/finish|We finish the meeting on time.|0
sparen|Ich spare Geld für einen kurzen Urlaub.|to save (money)|I’m saving money for a short vacation.|0
ausgeben|Er gibt zu viel Geld für Spiele aus.|to spend (money)|He spends too much money on games.|0
verdienen|Sie verdient nicht viel, aber genug zum Leben.|to earn|She doesn’t earn much, but enough to live.|0
kosten|Wie viel kostet das Ticket nach Köln?|to cost|How much does the ticket to Cologne cost?|0
zahlen|Wir zahlen getrennt, bitte.|to pay|We will pay separately, please.|0
tauschen|Tauschen wir Plätze, damit du besser siehst.|to swap/exchange|Let’s swap seats so you can see better.|0
senden|Ich sende dir später die Dateien.|to send|I’ll send you the files later.|0
empfangen|Wir empfangen heute Besuch aus Spanien.|to receive|We are receiving visitors from Spain today.|0
arbeiten|Ich arbeite heute von zu Hause am kleinen Projekt.|to work|I am working from home today on the small project.|0
spielen|Die Kinder spielen nach der Schule im Garten Fußball.|to play|The children play soccer in the garden after school.|0
schwimmen|Im Sommer schwimme ich jeden Morgen im See.|to swim|In summer I swim every morning in the lake.|0
fahren|Wir fahren am Wochenende mit dem Fahrrad in den Park.|to drive/ride|We ride our bikes to the park on the weekend.|0
fliegen|Sie fliegt nächsten Monat zum ersten Mal nach Wien.|to fly|She is flying to Vienna for the first time next month.|0
tanzen|Abends tanzen wir zu langsamer Musik im Wohnzimmer.|to dance|In the evening we dance to slow music in the living room.|0
malen|Er malt ein einfaches Bild mit drei bunten Häusern.|to paint|He is painting a simple picture with three colorful houses.|0
zeichnen|Ich zeichne einen Plan, damit alle ihn verstehen.|to draw|I am drawing a plan so everyone understands it.|0
lesen|Vor dem Schlafen lese ich eine kurze Geschichte.|to read|Before sleeping I read a short story.|0
schreiben|Bitte schreibe deinen Namen deutlich auf das Formular.|to write|Please write your name clearly on the form.|0
sprechen|Wir sprechen langsam, damit die Gruppe mitkommt.|to speak|We speak slowly so the group can follow.|0
fragen|Ich frage den Kellner nach der Rechnung.|to ask|I ask the waiter for the bill.|0
antworten|Sie antwortet freundlich auf jede Frage.|to answer|She answers every question kindly.|0
lachen|Wir lachen über den kleinen Witz im Film.|to laugh|We laugh about the small joke in the movie.|0
lächeln|Der Verkäufer lächelt, und ich fühle mich willkommen.|to smile|The salesperson smiles, and I feel welcome.|0
weinen|Das Kind weint kurz, beruhigt sich aber schnell.|to cry|The child cries briefly but calms down quickly.|0
schreien|Bitte schreie nicht, ich höre dich auch leise.|to scream|Please don’t shout; I can hear you softly too.|0
flüstern|Er flüstert im Museum, weil es sehr ruhig ist.|to whisper|He whispers in the museum because it is very quiet.|0
atmen|Atme ruhig ein und aus, dann wird es besser.|to breathe|Breathe in and out calmly; then it gets better.|0
husten|Sie hustet ein wenig und trinkt warmen Tee.|to cough|She coughs a little and drinks warm tea.|0
niesen|Ich niese oft im Frühling wegen der Pollen.|to sneeze|I sneeze often in spring because of the pollen.|0
heiraten|Sie heiraten im Juni in einem kleinen Garten.|to marry|They are getting married in June in a small garden.|0
scheiden|Nach vielen Gesprächen scheiden sie sich friedlich.|to divorce|After many talks they divorce peacefully.|0
lieben|Ich liebe ruhige Sonntage mit gutem Kaffee.|to love|I love quiet Sundays with good coffee.|0
mögen|Er mag einfache Rezepte mit wenigen Zutaten.|to like|He likes simple recipes with few ingredients.|0
hassen|Sie hasst Stau, deshalb fährt sie früh los.|to hate|She hates traffic, so she leaves early.|0
hoffen|Wir hoffen auf gutes Wetter für das Picknick.|to hope|We hope for good weather for the picnic.|0
glauben|Ich glaube, dass wir rechtzeitig ankommen.|to believe|I believe that we will arrive on time.|0
wissen|Weißt du, wo die Apotheke ist?|to know|Do you know where the pharmacy is?|0
meinen|Ich meine, wir sollten eine Pause machen.|to think/mean|I think we should take a break.|0
denken|Er denkt oft an seine Familie im Ausland.|to think|He often thinks about his family abroad.|0
vergessen|Sie vergisst manchmal ihren Schlüssel zu Hause.|to forget|She sometimes forgets her key at home.|0
erinnern|Ich erinnere mich gut an unseren ersten Tag.|to remember|I remember our first day well.|0
planen|Wir planen eine kleine Reise im Herbst.|to plan|We are planning a short trip in autumn.|0
organisieren|Ich organisiere die Unterlagen für das Meeting.|to organize|I am organizing the documents for the meeting.|0
vorbereiten|Sie bereitet das Abendessen mit frischem Gemüse vor.|to prepare|She prepares dinner with fresh vegetables.|0
einladen|Wir laden unsere Nachbarn zum Grillen ein.|to invite|We invite our neighbors to a barbecue.|0
besorgen|Ich besorge noch Brot und Milch im Laden.|to get/procure|I’ll get bread and milk at the store.|0
bestellen|Er bestellt eine Suppe und ein Wasser.|to order|He orders a soup and a water.|0
reservieren|Wir reservieren einen Tisch für vier Personen.|to reserve|We reserve a table for four people.|0
empfehlen|Kannst du mir ein gutes Café empfehlen?|to recommend|Can you recommend a good café to me?|0
probieren|Ich probiere heute ein neues Gericht.|to try/taste|I am trying a new dish today.|0
schneiden|Sie schneidet das Gemüse in kleine Stücke.|to cut|She cuts the vegetables into small pieces.|0
mischen|Wir mischen Reis mit Gemüse und Kräutern.|to mix|We mix rice with vegetables and herbs.|0
braten|Er brät die Zwiebeln langsam in der Pfanne.|to fry/roast|He slowly fries the onions in the pan.|0
grillen|Am Samstag grillen wir im Park mit Freunden.|to grill|On Saturday we grill in the park with friends.|0
servieren|Das Restaurant serviert das Essen sehr schnell.|to serve|The restaurant serves the food very quickly.|0
decken|Bitte deck den Tisch mit Tellern und Gläsern.|to set/cover|Please set the table with plates and glasses.|0
räumen|Wir räumen nach dem Essen gemeinsam auf.|to tidy/clear|We tidy up together after eating.|0
spülen|Er spült das Geschirr und trocknet es ab.|to wash (dishes)|He washes the dishes and dries them.|0
fegen|Ich fege den Boden im Flur.|to sweep|I sweep the floor in the hallway.|0
wischen|Sie wischt den Tisch sauber nach dem Essen.|to wipe/mop|She wipes the table clean after the meal.|0
staubsaugen|Wir staubsaugen das Wohnzimmer am Nachmittag.|to vacuum|We vacuum the living room in the afternoon.|0
reparieren|Er repariert das quietschende Fahrrad schnell.|to repair|He quickly repairs the squeaky bicycle.|0
bauen|Wir bauen ein kleines Regal für die Küche.|to build|We build a small shelf for the kitchen.|0
installieren|Ich installiere das Programm Schritt für Schritt.|to install|I install the program step by step.|0
aktualisieren|Bitte aktualisiere die App auf die neue Version.|to update|Please update the app to the new version.|0
herunterladen|Er lädt die Datei aus der E-Mail herunter.|to download|He downloads the file from the email.|0
hochladen|Sie lädt die Fotos in die Cloud hoch.|to upload|She uploads the photos to the cloud.|0
speichern|Speichere die Änderungen, bevor du schließt.|to save|Save the changes before you close.|0
löschen|Ich lösche alte Nachrichten auf meinem Handy.|to delete|I delete old messages on my phone.|0
suchen|Wir suchen eine ruhige Bibliothek zum Lernen.|to search|We are looking for a quiet library to study.|0
finden|Ich finde den richtigen Raum im zweiten Stock.|to find|I find the right room on the second floor.|0
öffnen|Öffne bitte das Fenster für frische Luft.|to open|Please open the window for fresh air.|0
schließen|Sie schließen die Tür leise, das Baby schläft.|to close|They close the door quietly; the baby is sleeping.|0
drücken|Drück den Knopf, um das Licht anzuschalten.|to press|Press the button to turn on the light.|0
ziehen|Zieh vorsichtig an der Tür, sie klemmt.|to pull|Pull the door carefully; it sticks.|0
schieben|Wir schieben den Tisch an die Wand.|to push|We push the table against the wall.|0
werfen|Er wirft den Ball leicht zu mir.|to throw|He throws the ball gently to me.|0
fangen|Ich fange den Ball mit beiden Händen.|to catch|I catch the ball with both hands.|0
treten|Tritt nicht gegen die Tür, sie ist alt.|to kick|Don’t kick the door; it is old.|0
biegen|Biege an der Ecke links ab.|to turn/bend|Turn left at the corner.|0
steigen|Wir steigen die Treppe langsam hinauf.|to climb/ascend|We go up the stairs slowly.|0
fallen|Pass auf, sonst fällst du auf den nassen Boden.|to fall|Be careful or you will fall on the wet floor.|0
tragen|Sie trägt zwei Taschen, ich helfe ihr.|to carry/wear|She carries two bags; I help her.|0
heben|Er hebt die Kiste nur mit geradem Rücken.|to lift|He lifts the box only with a straight back.|0
senken|Bitte senke die Stimme, andere arbeiten.|to lower|Please lower your voice; others are working.|0
erhöhen|Wir erhöhen die Lautstärke ein wenig.|to increase|We increase the volume a little.|0
messen|Ich messe die Länge mit einem Lineal.|to measure|I measure the length with a ruler.|0
wiegen|Das Paket wiegt weniger als zwei Kilo.|to weigh|The package weighs less than two kilos.|0
schätzen|Ich schätze, es dauert etwa zehn Minuten.|to estimate|I estimate it takes about ten minutes.|0
rechnen|Wir rechnen die Kosten zusammen.|to calculate|We calculate the costs together.|0
zählen|Das Kind zählt bis zwanzig laut.|to count|The child counts loudly to twenty.|0
teilen|Wir teilen die Pizza in sechs Stücke.|to divide/share|We divide the pizza into six pieces.|0
addieren|Addiere bitte fünf und sieben.|to add|Please add five and seven.|0
subtrahieren|Subtrahiere drei von zehn.|to subtract|Subtract three from ten.|0
multiplizieren|Wir multiplizieren zwei mal vier.|to multiply|We multiply two times four.|0
dividieren|Er dividiert acht durch zwei.|to divide|He divides eight by two.|0
zeichnen|Zeichne einen einfachen Kreis auf das Blatt.|to draw|Draw a simple circle on the sheet.|0
beschriften|Beschrifte die Achsen in der Grafik.|to label|Label the axes in the chart.|0
erklären|Er erklärt die Regeln in einfachen Worten.|to explain|He explains the rules in simple words.|0
demonstrieren|Die Trainerin demonstriert die Übung langsam.|to demonstrate|The trainer demonstrates the exercise slowly.|0
überprüfen|Bitte überprüfe deine Antworten sorgfältig.|to check/verify|Please check your answers carefully.|0
korrigieren|Ich korrigiere kleine Fehler im Text.|to correct|I correct small mistakes in the text.|0
bewerten|Die Lehrerin bewertet die Aufgaben am Abend.|to assess|The teacher assesses the exercises in the evening.|0
abgeben|Wir geben die Hausaufgaben morgen ab.|to hand in|We hand in the homework tomorrow.|0
bestehen|Er besteht die Prüfung mit guter Note.|to pass|He passes the exam with a good grade.|0
durchfallen|Sie fällt diesmal nicht durch, sie ist bereit.|to fail|She won’t fail this time; she is ready.|0
studieren|Ich studiere abends eine Stunde Grammatik.|to study|I study grammar for an hour in the evening.|0
forschen|Die Gruppe forscht zu einfacher Robotik.|to research|The group does research on simple robotics.|0
entdecken|Wir entdecken einen ruhigen Platz am Fluss.|to discover|We discover a quiet spot by the river.|0
erfinden|Er erfindet ein kleines Spiel für Kinder.|to invent|He invents a small game for children.|0
beweisen|Kannst du deine Idee mit Daten beweisen?|to prove|Can you prove your idea with data?|0
zweifeln|Ich zweifle nicht, das klappt gut.|to doubt|I do not doubt; it will work well.|0
zustimmen|Viele stimmen dem Vorschlag freundlich zu.|to agree|Many agree to the proposal kindly.|0
ablehnen|Einige lehnen den Plan aus Zeitgründen ab.|to reject|Some reject the plan for time reasons.|0
vorschlagen|Ich schlage einen kurzen Spaziergang vor.|to suggest|I suggest a short walk.|0
anbieten|Sie bietet Hilfe bei der Anmeldung an.|to offer|She offers help with the registration.|0
fordern|Der Trainer fordert tägliches Üben.|to demand|The coach demands daily practice.|0
bitten|Ich bitte um etwas Geduld.|to request|I ask for a little patience.|0
empfangen|Wir empfangen heute drei Gäste.|to receive|We are receiving three guests today.|0
begleiten|Ich begleite dich bis zur Haltestelle.|to accompany|I’ll accompany you to the bus stop.|0
vorbeikommen|Kommst du später kurz vorbei?|to drop by|Are you dropping by later for a moment?|0
besuchen|Wir besuchen heute das neue Museum.|to visit|We are visiting the new museum today.|0
verabschieden|Wir verabschieden uns und gehen nach Hause.|to say goodbye|We say goodbye and go home.|0
grüßen|Bitte grüße deine Eltern von mir.|to greet|Please greet your parents from me.|0
vorstellen|Ich stelle mir einen ruhigen Urlaub am Meer vor.|to imagine|I imagine a quiet holiday at the sea.|0
träumen|Nachts träume ich oft von Bergen.|to dream|At night I often dream of mountains.|0
wünschen|Ich wünsche dir einen schönen Tag.|to wish|I wish you a nice day.|0
brauchen|Wir brauchen heute nur eine kurze Pause.|to need|We only need a short break today.|0
reichen|Eine Stunde reicht, um alles zu besprechen.|to be enough|One hour is enough to discuss everything.|0
genügen|Einfaches Licht genügt für das Foto.|to suffice|Simple light suffices for the photo.|0
fehlen|Es fehlt nur noch ein Stuhl.|to be missing|Only one chair is missing.|0
gehören|Die Stifte gehören der Schule.|to belong|The pens belong to the school.|0
schenken|Ich schenke dir ein kleines Notizbuch.|to give (a gift)|I am giving you a small notebook.|0
bekommen|Wir bekommen morgen neue Arbeitspläne.|to receive|get|We get new work schedules tomorrow.|0
mitteilen|Bitte teile mir die Uhrzeit rechtzeitig mit.|to inform|Please inform me of the time in good time.|0
melden|Er meldet das Problem an den Support.|to report|He reports the problem to support.|0
ankündigen|Die Lehrerin kündigt einen Test für Freitag an.|to announce|The teacher announces a test for Friday.|0
erlauben|Meine Eltern erlauben mir, länger zu lesen.|to allow|My parents allow me to read longer.|0
verbieten|Der Park verbietet laute Musik am Abend.|to forbid|The park forbids loud music in the evening.|0
warnen|Ich warne dich, die Straße ist glatt.|to warn|I warn you; the street is slippery.|0
